id,prob
37662224,0.7629
37741884,0.8905
36804663,0.6664
37642222,0.9291
37742129,0.9038
37854423,0.7908
37822018,0.869
36109709,0.8426
37791988,0.8152
37822030,0.7514
37692106,0.8261
37631992,0.9043
37651933,0.6329
37811785,0.8625
37661932,0.955
37702003,0.7146
37641966,0.8809
37661950,0.9134
37661936,0.8658
37831998,0.7028
37802030,0.5232
37761127,0.8598
37831974,0.8943
36400279,0.9232
37801983,0.7662
37621910,0.9257
37601999,0.8756
37671926,0.6512
37831861,0.6603
37841743,0.7878
37752007,0.616
37691982,0.8591
37691975,0.5529
37761908,0.73740000000000006
37681953,0.6873
37731824,0.7921
37701802,0.9324
37831843,0.9208
37681636,0.6036
37711880,0.6278
37691888,0.6161
37761254,0.7377
37761825,0.8567
37751902,0.7308
37761758,0.5851
37821828,0.8104
37771373,0.7231
37831894,0.9666
37720167,0.5576
37681303,0.7957
37611935,0.7235
37611902,0.8701
37791772,0.6378
37691828,0.526
37611956,0.8893
37801825,0.7217
37731794,0.9426
37741729,0.7398
37781916,0.5846
37641760,0.9294
37721827,0.6838
37630954,0.6217
37831821,0.7531
37711792,0.6954
36039943,0.7265
37831763,0.7534
37601834,0.5639
37781802,0.4284
37841694,0.8754
37801612,0.6455
37771756,0.9678
37801349,0.6442
37821702,0.8522
37831666,0.8049
37811463,0.9548
37711705,0.6052
37621731,0.7827
37701695,0.7857
37821675,0.8604
37671710,0.6604
37741676,0.9009
37711575,0.8119
11335677,0.7372
37681714,0.8809
37731698,0.8048
37741195,0.4062
37690495,0.7925
37661596,0.5987
37731642,0.6705
37217579,0.9331
37821608,0.8682
37831402,0.8581
37841570,0.6223
37831639,0.7465
37601716,0.9061
37127479,0.7336
37711641,0.9345
37841552,0.7274
37631643,0.8887
37831674,0.7164
37600999,0.6357
36059066,0.62
37771625,0.7346
37761587,0.8064
37641562,0.7883
36743141,0.6972
37811432,0.43120000000000003
37631545,0.8016
37661515,0.8703
37711552,0.9012
37671547,0.6717
37681471,0.8837
37147785,0.9047
37771542,0.6747
37107399,0.6058
37841472,0.8966
37761554,0.6785
37621413,0.7887
37631536,0.9844
37601584,0.8204
37751428,0.6204
37711505,0.7532
37611567,0.9137
37681506,0.9541
37841426,0.9218
37781601,0.9597
37711490,0.6208
37701318,0.9042
37631502,0.765
37841429,0.7962
37800714,0.7031
37831477,0.9194
37761295,0.8706
37621513,0.6317
37830811,0.4752
37661426,0.8625
37621480,0.8766
37207932,0.9493
37661445,0.803
37611542,0.7839
37621461,0.8901
37601076,0.9209
36019516,0.953
16402028,0.8966
37641419,0.8461
37811487,0.8761
37620902,0.5641
37691476,0.6859
37831382,0.5695
37651373,0.8723
37601500,0.8621
37631386,0.9401
37601439,0.964
37831271,0.8596
37631404,0.8666
37731349,0.6616
37601467,0.8935
37741410,0.8298
37631364,0.8735
37631387,0.8522
37771351,0.6594
37601493,0.9259
37800951,0.8898
37651345,0.8177
37801469,0.7887
37287167,0.7369
37651312,0.9058
37147634,0.9242
37771331,0.5016
37641323,0.8559
37841307,0.8888
37811352,0.7319
36049003,0.6914
37711342,0.9733
37691384,0.9477
37831326,0.7942
37771322,0.9479
37307321,0.7162
37801423,0.7655
37631346,0.9779
37761323,0.9185
37661321,0.785
37601403,0.8008
37761340,0.7541
37701307,0.7503
37681171,0.7348
37771273,0.6822
37621337,0.8165
37671306,0.691
37821296,0.9171
37621311,0.734
37631305,0.8068
37811199,0.8656
37791206,0.9699
37781315,0.8095
37751264,0.9627
37741087,0.829
37651203,0.762
36723433,0.7557
37721298,0.8402
37761281,0.9175
37691283,0.9085
37671236,0.8666
37741222,0.7264
37771192,0.7499
37691249,0.8348
37631183,0.7878
37601287,0.9189
36321134,0.9325
37801276,0.8021
37831144,0.8846
35641141,0.9679
37681182,0.8018
37691252,0.8649
36802943,0.8689
37621238,0.7058
36510138,0.6988
37711197,0.9406
37641175,0.8698
37329725,0.9404
37077993,0.8775
37601268,0.5575
37681168,0.6967
37771170,0.9361
37831186,0.9703
37701153,0.6711
37761216,0.9387
37621004,0.8485
37681100,0.9539
36540233,0.8107
36250156,0.8039
37821032,0.7711
37761172,0.799
37087831,0.7696
35998372,0.4641
37690894,0.8378
37801204,0.8406
37701110,0.9804
37117469,0.7595
37661126,0.9648
37721116,0.5465
37640945,0.7353
36701418,0.7958
35136649,0.6863
37631158,0.9068
37840979,0.8141
37157569,0.7856
37781214,0.7276
37641112,0.9205
37830435,0.8802
37820744,0.8205
37631110,0.8748
36381846,0.6742
37671148,0.8017
36802884,0.7907
37731119,0.9793
37621134,0.8952
37831091,0.9597
37781151,0.91
36801732,0.7313
37621087,0.9173
37601068,0.6946
36331703,0.7518
37821124,0.6995
37651020,0.8569
37720274,0.7283
36008401,0.8718
37690929,0.8041
37811086,0.8955
35998955,0.6797
37801103,0.5589
37681069,0.4444
37741079,0.8239
37790654,0.6586
37670146,0.8524
37701074,0.7542
37821079,0.8116
37681051,0.5097
35883614,0.8664
37661104,0.9136
37227681,0.5189
36797642,0.6991
37187580,0.9194
37811114,0.8572
37601144,0.7227
37811012,0.7631
37681000,0.6954
37770971,0.8167
37801015,0.8028
37670988,0.9092
37811016,0.7488
37690968,0.7478
37661008,0.986
37620251,0.6004
37711076,0.9062
37821015,0.801
37771022,0.9533
37611069,0.9614
37691001,0.9156
37650965,0.9758
36441321,0.7362
37720986,0.6726
37660443,0.5067
37197711,0.7709
37720210,0.7553
37267711,0.6947
36159765,0.7468
37601083,0.7082
37721029,0.8439
37601073,0.8713
37650924,0.7569
37671000,0.7037
37631055,0.5496
37800985,0.7665
37630735,0.8289
37610982,0.7004
37760979,0.8128
36797388,0.848
37761041,0.5596
37800700,0.7056
37820816,0.7894
37700928,0.7954
37640882,0.8433
37770883,0.8645
37680931,0.771
37820893,0.8297
37670899,0.9191
37650830,0.948
37601012,0.9817
37601021,0.6718
37600942,0.7636
37620942,0.955
37740968,0.7008
37680934,0.6927
37780997,0.818
37601037,0.859
37830734,0.7462
36109126,0.6986
37710875,0.9024
37750871,0.9941
37700797,0.7506
37790832,0.6627
37640638,0.8873
37760858,0.6635
37740860,0.9871
37710842,0.8372
37288020,0.871
37770785,0.6664
37770816,0.6424
37600880,0.9495
37660825,0.6921
37600717,0.7328
37600985,0.5641
37760884,0.9098
37810877,0.9113
37127611,0.8504
16782165,0.7336
28614047,0.9512
37690829,0.696
37760802,0.7007
37620259,0.7086
37600901,0.9242
37750910,0.9089
35843702,0.9406
37620878,0.9992
37690850,0.8121
37690890,0.9568
34914883,0.8644
37610645,0.7802
37640810,0.9292
37720810,0.8308
37630767,0.6235
37830677,0.7949
37630774,0.832
37630777,0.8283
37840786,0.8425
37680780,0.7337
37840787,0.9242
37680740,0.9512
37840801,0.8412
37107954,0.8202
37800786,0.9332
37600823,0.4337
34362004,0.8908
37690760,0.7864
36960127,0.9149
37670741,0.8896
37670804,0.9122
37660744,0.8269
37840797,0.7426
36520360,0.907
37710575,0.6817
37700784,0.7637
37740800,0.9529
37800787,0.8105
37750798,0.9125
36331320,0.8625
37670672,0.93
37700723,0.9621
36870162,0.9671
37287821,0.8158
37630694,0.8346
37177738,0.5902
37840638,0.5928
37810752,0.8614
37690243,0.7205
37780719,0.4354
37840649,0.9214
37610680,0.7375
37217969,0.548
37700657,0.9133
37670733,0.8815
37820736,0.9129
37067163,0.5432
37630733,0.8546
36500466,0.9548
36049659,0.6832
36450272,0.6778
36028602,0.4839
37610681,0.8051
37650541,0.8355
37770735,0.9124
37237684,0.9399
37329731,0.8136
36281574,0.9864
37780548,0.5146
37630626,0.9343
37740629,0.9296
37690404,0.9703
37780586,0.6207
37740622,0.7424
35358431,0.8961
37810508,0.88
37167997,0.7414
37680413,0.7657
37750611,0.9296
37760655,0.9734
37700606,0.8393
37329321,0.7957
37700609,0.903
37680611,0.8099
37780540,0.8347
37700362,0.8457
37670502,0.7698
35958542,0.9297
37720301,0.9601
37710397,0.7268
37720549,0.9596
37158018,0.8998
32480025,0.8842
37660572,0.8927
37620535,0.7579
36360737,0.9325
37680469,0.8241
37790581,0.6601
37770528,0.5078
37770556,0.7263
37720564,0.6096
37700545,0.799
37167163,0.7391
37700522,0.9735
37800539,0.9082
37690553,0.7441
37329769,0.8481
37610569,0.8104
37740560,0.7973
34504089,0.7905
36129113,0.924
37810629,0.9021
37700560,0.8903
37810580,0.7798
37840519,0.7249
37830462,0.6277
37670512,0.5775
37790545,0.7844
37790533,0.5658
37730511,0.7066
37600653,0.7356
37650475,0.7634
37840239,0.6465
37640565,0.8861
37620501,0.9252
37750492,0.8729
37167919,0.4001
37770480,0.9006
37620465,0.6414
37640500,0.8499
37640488,0.9099
37620447,0.7675
37780496,0.61
37760502,0.8951
37640518,0.6419
37630477,0.8889
37620472,0.7362
37690489,0.9091
37710498,0.8578
37820527,0.602
36211593,0.8109
37600544,0.8532
37680430,0.7063
37610520,0.855
37830432,0.9092
34934135,0.4654
37730472,0.612
37650446,0.9351
37277726,0.8934
37640514,0.6343
37760501,0.9156
37750238,0.9903
37810539,0.6753
37790389,0.7306
37760228,0.86
37770374,0.8388
37680332,0.9706
36800985,0.5969
37760461,0.7185
37830356,0.8062
37830376,0.9575
37740306,0.6511
37670415,0.9843
37710432,0.8799
37800423,0.867
37790392,0.7796
37840435,0.7765
37780358,0.8981
37760444,0.7466
37840388,0.8499
37830144,0.8461
37600202,0.844
37720436,0.9473
37840371,0.8218
37830387,0.965
37810488,0.5436
37750420,0.9204
37800417,0.6329
37750407,0.9323
37610448,0.8952
36088255,0.6139
37640444,0.9791
37730427,0.4617
37770441,0.8833
37600414,0.773
36351529,0.7778
37710342,0.9579
37600434,0.8816
37780328,0.7232
37157574,0.6642
37750346,0.6878
37610344,0.5462
37800313,0.7483
37087341,0.8294
37770349,0.8996
37740294,0.7098
37168043,0.8139
37630352,0.8299
37107313,0.9144
35823990,0.6436
37760341,0.6795
37740331,0.9749
37610360,0.8368
37780326,0.7781
37680242,0.5887
37730331,0.4883
37790353,0.7295
37630287,0.8592
37810392,0.7396
37760342,0.549
37640223,0.8825
37670272,0.7777
35939268,0.604
37750262,0.6699
37600316,0.968
37770214,0.9464
37730310,0.8439
37630227,0.7967
37620258,0.8429
37147210,0.8479
37810284,0.8141
37620282,0.9781
37247386,0.8139
37760298,0.8043
37720357,0.4631
37630260,0.9025
36251462,0.752
37810286,0.8703
37790242,0.7409
37800270,0.8518
37710276,0.9393
37840172,0.6108
37660294,0.6669
35256661,0.7407
37620226,0.7817
37770277,0.6651
37840200,0.511
37630216,0.5866
37328163,0.9066
36241453,0.8289
37760244,0.722
37277889,0.7665
37810239,0.7322
37640267,0.6649
37700222,0.8937
37820216,0.8892
37237219,0.6568
37630225,0.8213
37760241,0.6146
37810356,0.8813
36301494,0.957
37097236,0.9877
35348591,0.5876
37690220,0.8205
37750308,0.9969
35126468,0.921
37700169,0.8852
36210606,0.8956
37800219,0.7156
37158031,0.7254
37720255,0.9144
37068027,0.6644
37720204,0.9331
37780166,0.7463
37720221,0.7573
37840148,0.8283
37730172,0.6106
37427112,0.8056
37630184,0.5698
37127314,0.6327
37780152,0.7388
37830218,0.8782
37640145,0.7628
37770182,0.8457
37197886,0.8522
34964007,0.7701
37630171,0.7449
37820167,0.9021
37610196,0.4604
37770158,0.9451
37690145,0.502
37760193,0.7372
37690155,0.7933
37750146,0.8145
37720268,0.8802
37680188,0.9313
37720266,0.9744
37730156,0.6799
34954595,0.9517
